                       i               ith prime         n of primes < i
                       1                       2                       0
                       2                       3                       1
                       3                       5                       2
                       4                       7                       2
                       5                      11                       3
                       6                      13                       3
                       7                      17                       4
                       8                      19                       4
                       9                      23                       4
                      10                      29                       4
                      11                      31                       5
                      12                      37                       5
                      13                      41                       6
                      14                      43                       6
                      15                      47                       6
                      16                      53                       6
                      17                      59                       7
                      18                      61                       7
                      19                      67                       8
                      20                      71                       8
                      21                      73                       8
                      22                      79                       8
                      23                      83                       9
                      24                      89                       9
                      25                      97                       9
                      26                     101                       9
                      27                     103                       9
                      28                     107                       9
                      29                     109                      10
                      30                     113                      10
                      31                     127                      11
                      32                     131                      11
                      33                     137                      11
                      34                     139                      11
                      35                     149                      11
                      36                     151                      11
                      37                     157                      12
                      38                     163                      12
                      39                     167                      12
                      40                     173                      12
                      41                     179                      13
                      42                     181                      13
                      43                     191                      14
                      44                     193                      14
                      45                     197                      14
                      46                     199                      14
                      47                     211                      15
                      48                     223                      15
                      49                     227                      15
                      50                     229                      15
                      51                     233                      15
                      52                     239                      15
                      53                     241                      16
                      54                     251                      16
                      55                     257                      16
                      56                     263                      16
                      57                     269                      16
                      58                     271                      16
                      59                     277                      17
                      60                     281                      17
                      61                     283                      18
                      62                     293                      18
                      63                     307                      18
                      64                     311                      18
                      65                     313                      18
                      66                     317                      18
                      67                     331                      19
                      68                     337                      19
                      69                     347                      19
                      70                     349                      19
                      71                     353                      20
                      72                     359                      20
                      73                     367                      21
                      74                     373                      21
                      75                     379                      21
                      76                     383                      21
                      77                     389                      21
                      78                     397                      21
                      79                     401                      22
                      80                     409                      22
                      81                     419                      22
                      82                     421                      22
                      83                     431                      23
                      84                     433                      23
                      85                     439                      23
                      86                     443                      23
                      87                     449                      23
                      88                     457                      23
                      89                     461                      24
                      90                     463                      24
                      91                     467                      24
                      92                     479                      24
                      93                     487                      24
                      94                     491                      24
                      95                     499                      24
                      96                     503                      24
                      97                     509                      25
                      98                     521                      25
                      99                     523                      25
                     100                     541                      25
                     101                     547                      26
                     102                     557                      26
                     103                     563                      27
                     104                     569                      27
                     105                     571                      27
                     106                     577                      27
                     107                     587                      28
                     108                     593                      28
                     109                     599                      29
                     110                     601                      29
                     111                     607                      29
                     112                     613                      29
                     113                     617                      30
                     114                     619                      30
                     115                     631                      30
                     116                     641                      30
                     117                     643                      30
                     118                     647                      30
                     119                     653                      30
                     120                     659                      30
                     121                     661                      30
                     122                     673                      30
                     123                     677                      30
                     124                     683                      30
                     125                     691                      30
                     126                     701                      30
                     127                     709                      31
                     128                     719                      31
                     129                     727                      31
                     130                     733                      31
                     131                     739                      32
                     132                     743                      32
                     133                     751                      32
                     134                     757                      32
                     135                     761                      32
                     136                     769                      32
                     137                     773                      33
                     138                     787                      33
                     139                     797                      34
                     140                     809                      34
                     141                     811                      34
                     142                     821                      34
                     143                     823                      34
                     144                     827                      34
                     145                     829                      34
                     146                     839                      34
                     147                     853                      34
                     148                     857                      34
                     149                     859                      35
                     150                     863                      35
                     151                     877                      36
                     152                     881                      36
                     153                     883                      36
                     154                     887                      36
                     155                     907                      36
                     156                     911                      36
                     157                     919                      37
                     158                     929                      37
                     159                     937                      37
                     160                     941                      37
                     161                     947                      37
                     162                     953                      37
                     163                     967                      38
                     164                     971                      38
                     165                     977                      38
                     166                     983                      38
                     167                     991                      39
                     168                     997                      39
                     169                    1009                      39
                     170                    1013                      39
                     171                    1019                      39
                     172                    1021                      39
                     173                    1031                      40
